date,cash,position,portfolio_value,close,signal,daily_return
2021-10-29,2229580848.730011,1146283676,91158268432.81001,77.58,buy,0.014414175098524778
2021-11-01,2229580848.730011,1146283676,92040906863.33,78.35,buy,0.00968248350582213
2021-11-02,2229580848.730011,1146283676,93233041886.37001,79.39,buy,0.012952230303534382
2021-11-03,2229580848.730011,1146283676,96121676749.89001,81.91,buy,0.030982952020814646
2021-11-04,2229580848.730011,1146283676,99617841961.69,84.96,buy,0.036372286980563814
2021-11-05,2229580848.730011,1146283676,99984652738.01001,85.28,buy,0.0036821795081755696
2021-11-08,2229580848.730011,1146283676,99583453451.41002,84.93,hold,-0.004012608691568436
2021-11-09,95491220728.09001,0,95491220728.09001,83.18,sell,-0.0410935007924458
2021-11-10,95491220728.09001,0,95491220728.09001,79.54,sell,0.0
2021-11-11,95491220728.09001,0,95491220728.09001,80.18,sell,0.0
2021-11-12,2864736651.730011,1109830866,94669945887.25002,82.72,buy,-0.008600527195882914
2021-11-15,2864736651.730011,1109830866,94647749269.93001,82.7,buy,-0.00023446318799466776
2021-11-16,2864736651.730011,1109830866,96545560050.79001,84.41,buy,0.020051303866165396
2021-11-17,2864736651.730011,1109830866,96656543137.39001,84.51,buy,0.0011495410720246575
2021-11-18,2864736651.730011,1109830866,99531005080.33,87.1,buy,0.029738927646669047
2021-11-19,2864736651.730011,1109830866,101162456453.35,88.57,hold,0.016391388509573314
2021-11-22,96889607619.25002,0,96889607619.25002,85.5,sell,-0.042237495844818375
2021-11-23,96889607619.25002,0,96889607619.25002,84.33,sell,0.0
2021-11-24,96889607619.25002,0,96889607619.25002,85.11,sell,0.0
2021-11-26,96889607619.25002,0,96889607619.25002,80.42,sell,0.0
2021-11-29,96889607619.25002,0,96889607619.25002,85.42,sell,0.0
2021-11-30,96889607619.25002,0,96889607619.25002,81.75,sell,0.0
2021-12-01,96889607619.25002,0,96889607619.25002,77.55,sell,0.0
2021-12-02,96889607619.25002,0,96889607619.25002,79.01,sell,0.0
2021-12-03,96889607619.25002,0,96889607619.25002,75.04,sell,0.0
2021-12-06,2906688235.26001,1161860791,92125978376.15002,76.79,buy,-0.049165533436978784
2021-12-07,2906688235.26001,1161860791,100177673657.78001,83.72,buy,0.08739874922961413
2021-12-08,2906688235.26001,1161860791,101537050783.25002,84.89,hold,0.013569661540692297
2021-12-09,2906688235.26001,1161860791,97273021680.28001,81.22,hold,-0.04199480948163814
2021-12-10,2906688235.26001,1161860791,100200910873.6,83.74,hold,0.030099704344987547
2021-12-13,92439680789.72002,0,92439680789.72002,80.14,sell,-0.07745668194244774
2021-12-14,92439680789.72002,0,92439680789.72002,77.75,sell,0.0
2021-12-15,92439680789.72002,0,92439680789.72002,82.89,sell,0.0
2021-12-16,92439680789.72002,0,92439680789.72002,76.57,sell,0.0
2021-12-17,92439680789.72002,0,92439680789.72002,75.4,sell,0.0
2021-12-20,2773190495.2400208,1194279306,90122778936.08002,73.14,buy,-0.02506393178607402
2021-12-21,2773190495.2400208,1194279306,95974747535.48003,78.04,buy,0.06493329065618964
2021-12-22,2773190495.2400208,1194279306,99294844006.16002,80.82,buy,0.03459343791920491
2021-12-23,2773190495.2400208,1194279306,101587860273.68001,82.74,buy,0.023093004379741367
2021-12-27,2773190495.2400208,1194279306,106305263532.38002,86.69,buy,0.04643668294608451
2021-12-28,2773190495.2400208,1194279306,105099041433.32002,85.68,hold,-0.011346776810280788
2021-12-29,2773190495.2400208,1194279306,104931842330.48003,85.54,hold,-0.0015908718153825946
2021-12-30,2773190495.2400208,1194279306,103976418885.68001,84.74,hold,-0.009105181264147996
2021-12-31,2773190495.2400208,1194279306,102101400375.26003,83.17,hold,-0.018033112993452182
2022-01-03,105385668466.76003,0,105385668466.76003,85.57,sell,0.03216672914797557
2022-01-04,105385668466.76003,0,105385668466.76003,82.24,sell,0.0
2022-01-05,105385668466.76003,0,105385668466.76003,74.68,sell,0.0
2022-01-06,105385668466.76003,0,105385668466.76003,74.47,sell,0.0
2022-01-07,105385668466.76003,0,105385668466.76003,72.04,sell,0.0
2022-01-10,105385668466.76003,0,105385668466.76003,72.3,sell,0.0
2022-01-11,105385668466.76003,0,105385668466.76003,75.48,sell,0.0
2022-01-12,105385668466.76003,0,105385668466.76003,76.34,sell,0.0
2022-01-13,105385668466.76003,0,105385668466.76003,70.8,sell,0.0
2022-01-14,105385668466.76003,0,105385668466.76003,71.87,sell,0.0
2022-01-18,105385668466.76003,0,105385668466.76003,66.69,sell,0.0
2022-01-19,105385668466.76003,0,105385668466.76003,64.37,sell,0.0
2022-01-20,105385668466.76003,0,105385668466.76003,61.88,sell,0.0
2022-01-21,105385668466.76003,0,105385668466.76003,56.67,sell,0.0
2022-01-24,105385668466.76003,0,105385668466.76003,57.49,sell,0.0
2022-01-25,105385668466.76003,0,105385668466.76003,53.25,sell,0.0
2022-01-26,105385668466.76003,0,105385668466.76003,53.15,sell,0.0
2022-01-27,105385668466.76003,0,105385668466.76003,51.56,sell,0.0
2022-01-28,3161570104.2800293,1792147587,104184929583.47003,56.37,buy,-0.011393758760174507
2022-01-31,3161570104.2800293,1792147587,113970055408.49002,61.83,buy,0.09392074136001044
2022-02-01,3161570104.2800293,1792147587,116084789561.15002,63.01,buy,0.018555173506588203
2022-02-02,3161570104.2800293,1792147587,118755089465.78003,64.5,hold,0.023003012838502587
2022-02-03,105081003376.97003,0,105081003376.97003,56.74,sell,-0.11514526367099631
2022-02-04,105081003376.97003,0,105081003376.97003,58.7,sell,0.0
2022-02-07,105081003376.97003,0,105081003376.97003,57.37,sell,0.0
2022-02-08,105081003376.97003,0,105081003376.97003,59.32,hold,0.0
2022-02-09,105081003376.97003,0,105081003376.97003,63.0,sell,0.0
2022-02-10,105081003376.97003,0,105081003376.97003,58.82,sell,0.0
2022-02-11,105081003376.97003,0,105081003376.97003,53.28,sell,0.0
2022-02-14,105081003376.97003,0,105081003376.97003,53.43,sell,0.0
2022-02-15,105081003376.97003,0,105081003376.97003,57.3,sell,0.0
2022-02-16,105081003376.97003,0,105081003376.97003,57.29,sell,0.0
2022-02-17,105081003376.97003,0,105081003376.97003,52.21,sell,0.0
2022-02-18,105081003376.97003,0,105081003376.97003,50.44,sell,0.0
2022-02-22,105081003376.97003,0,105081003376.97003,48.88,sell,0.0
2022-02-23,105081003376.97003,0,105081003376.97003,45.14,sell,0.0
2022-02-24,3152430119.5800323,2038979261,104204242294.74004,49.56,buy,-0.008343668732251086
2022-02-25,3152430119.5800323,2038979261,108995843558.09003,51.91,buy,0.04598278494072269
2022-02-28,3152430119.5800323,2038979261,110117282151.64003,52.46,hold,0.010288819802126906
2022-03-01,3152430119.5800323,2038979261,105182952340.02003,50.04,buy,-0.044809767506112624
2022-03-02,3152430119.5800323,2038979261,110056112773.81003,52.43,hold,0.04633032564095325
2022-03-03,103409040382.95004,0,103409040382.95004,50.24,sell,-0.060397121280498144
2022-03-04,103409040382.95004,0,103409040382.95004,48.09,sell,0.0
2022-03-07,103409040382.95004,0,103409040382.95004,42.72,sell,0.0
2022-03-08,103409040382.95004,0,103409040382.95004,42.13,sell,0.0
2022-03-09,103409040382.95004,0,103409040382.95004,46.64,sell,0.0
2022-03-10,103409040382.95004,0,103409040382.95004,45.14,sell,0.0
2022-03-11,103409040382.95004,0,103409040382.95004,42.34,sell,0.0
2022-03-14,103409040382.95004,0,103409040382.95004,39.86,sell,0.0
2022-03-15,3102271230.5900574,2221141921,99833001890.14005,43.55,buy,-0.03458148803593008
2022-03-16,3102271230.5900574,2221141921,110694385883.83005,48.44,buy,0.10879552640961627
2022-03-17,3102271230.5900574,2221141921,114292635795.85007,50.06,buy,0.032506164457123045
2022-03-18,3102271230.5900574,2221141921,121200387170.16006,53.17,buy,0.06043916413519983
2022-03-21,3102271230.5900574,2221141921,120356353240.18005,52.79,buy,-0.00696395407380196
2022-03-22,3102271230.5900574,2221141921,127286316033.70004,55.91,buy,0.057578703632626134
2022-03-23,3102271230.5900574,2221141921,122044421100.14005,53.55,buy,-0.04118192038940121
2022-03-24,3102271230.5900574,2221141921,129751783566.01007,57.02,buy,0.0631521080307798
2022-03-25,3102271230.5900574,2221141921,129551880793.12006,56.93,buy,-0.0015406552988793088
2022-03-28,3102271230.5900574,2221141921,135304638368.51007,59.52,buy,0.04440504869687325
2022-03-29,3102271230.5900574,2221141921,142079121227.56006,62.57,buy,0.050068371200987866
2022-03-30,3102271230.5900574,2221141921,137903374416.08005,60.69,hold,-0.02939029165863121
2022-03-31,132883593674.62006,0,132883593674.62006,58.18,sell,-0.036400710009563526
2022-04-01,132883593674.62006,0,132883593674.62006,57.93,hold,0.0
2022-04-04,132883593674.62006,0,132883593674.62006,61.55,sell,0.0
2022-04-05,132883593674.62006,0,132883593674.62006,57.48,sell,0.0
2022-04-06,132883593674.62006,0,132883593674.62006,53.7,sell,0.0
2022-04-07,132883593674.62006,0,132883593674.62006,54.05,sell,0.0
2022-04-08,132883593674.62006,0,132883593674.62006,51.84,sell,0.0
2022-04-11,132883593674.62006,0,132883593674.62006,48.16,sell,0.0
2022-04-12,132883593674.62006,0,132883593674.62006,47.54,sell,0.0
2022-04-13,132883593674.62006,0,132883593674.62006,50.39,sell,0.0
2022-04-14,132883593674.62006,0,132883593674.62006,47.0,sell,0.0
2022-04-18,3986507814.200058,2758336954,133986928456.22006,47.13,buy,0.008303017333363525
2022-04-19,3986507814.200058,2758336954,142344689426.84003,50.16,hold,0.06237743537311436
2022-04-20,140910354210.76007,0,140910354210.76007,47.9,sell,-0.010076492645109545
2022-04-21,140910354210.76007,0,140910354210.76007,45.09,sell,0.0
2022-04-22,140910354210.76007,0,140910354210.76007,41.51,sell,0.0
2022-04-25,140910354210.76007,0,140910354210.76007,43.05,sell,0.0
2022-04-26,140910354210.76007,0,140910354210.76007,38.21,sell,0.0
2022-04-27,140910354210.76007,0,140910354210.76007,38.04,sell,0.0
2022-04-28,140910354210.76007,0,140910354210.76007,42.06,sell,0.0
2022-04-29,140910354210.76007,0,140910354210.76007,36.53,sell,0.0
2022-05-02,4227310636.6000824,3579027064,141125095834.6001,38.25,buy,0.0015239591514959725
2022-05-03,4227310636.6000824,3579027064,141447208270.3601,38.34,hold,0.0022824603509040554
2022-05-04,149177906728.6001,0,149177906728.6001,42.14,sell,0.05465430214404548
2022-05-05,149177906728.6001,0,149177906728.6001,35.86,sell,0.0
2022-05-06,149177906728.6001,0,149177906728.6001,34.61,sell,0.0
2022-05-09,149177906728.6001,0,149177906728.6001,30.52,sell,0.0
2022-05-10,149177906728.6001,0,149177906728.6001,31.57,sell,0.0
2022-05-11,149177906728.6001,0,149177906728.6001,28.76,sell,0.0
