,date,cash,position,portfolio_value,close,volatility,ATR,rsi,signal
19,2010-05-25,100152.3624,0,100152.3624,0.45,0.0541499149872677,0.058571428571428566,33.33333333333334,hold
20,2010-05-26,100152.3624,0,100152.3624,0.43,0.05593246824357528,0.04499999999999999,36.36363636363636,hold
21,2010-05-27,100152.3624,0,100152.3624,0.48,0.056530661005112365,0.04357142857142856,50.0,hold
22,2010-05-28,100152.3624,0,100152.3624,0.47,0.05706723067333302,0.0407142857142857,35.714285714285694,hold
23,2010-06-01,100152.3624,0,100152.3624,0.46,0.0570278724601062,0.039999999999999994,34.48275862068965,hold
24,2010-06-02,100152.3624,0,100152.3624,0.49,0.05690639768475557,0.04,34.48275862068965,hold
25,2010-06-03,100152.3624,0,100152.3624,0.51,0.05716710198933487,0.038571428571428576,42.857142857142854,hold
26,2010-06-04,100152.3624,0,100152.3624,0.46,0.05182833696115252,0.03928571428571429,40.0,hold
27,2010-06-07,100152.3624,0,100152.3624,0.43,0.05248596255564451,0.03928571428571428,34.375,sell
28,2010-06-08,100152.3624,0,100152.3624,0.43,0.04409728073971154,0.03857142857142857,36.666666666666664,hold
29,2010-06-09,100152.3624,0,100152.3624,0.42,0.04409728073971154,0.03928571428571428,37.93103448275862,hold
30,2010-06-10,100152.3624,0,100152.3624,0.45,0.043444344961714544,0.037142857142857144,51.85185185185185,hold
31,2010-06-11,100152.3624,0,100152.3624,0.46,0.04406600524133319,0.035714285714285705,51.85185185185185,hold
32,2010-06-14,100152.3624,0,100152.3624,0.46,0.04338682770013785,0.03642857142857142,51.85185185185185,hold
33,2010-06-15,100152.3624,0,100152.3624,0.5,0.04451832853116924,0.035714285714285705,58.064516129032256,hold
34,2010-06-16,100152.3624,0,100152.3624,0.51,0.04553898427254701,0.03428571428571428,63.333333333333336,hold
35,2010-06-17,100152.3624,0,100152.3624,0.51,0.044630797494473205,0.03214285714285714,56.00000000000001,hold
36,2010-06-18,100152.3624,0,100152.3624,0.52,0.037729697628039426,0.03142857142857143,60.000000000000014,hold
37,2010-06-21,100152.3624,0,100152.3624,0.5,0.03711698605767626,0.03285714285714286,57.692307692307686,hold
38,2010-06-22,100152.3624,0,100152.3624,0.49,0.03752584604034356,0.03285714285714287,50.0,hold
39,2010-06-23,100152.3624,0,100152.3624,0.48,0.034305995450454894,0.03357142857142858,43.47826086956522,hold
40,2010-06-24,100152.3624,0,100152.3624,0.46,0.03458401844337052,0.030714285714285722,50.0,hold
41,2010-06-25,100152.3624,0,100152.3624,0.46,0.03351956195339486,0.029285714285714293,58.82352941176471,hold
42,2010-06-28,100152.3624,0,100152.3624,0.46,0.0331261038518679,0.028571428571428574,58.82352941176471,hold
