,date,cash,position,portfolio_value,close,signal
1242,2015-01-30,18282904.24,0,18282904.24,3.78,sell
1243,2015-02-02,548489.2799999975,4535656,18146834.56,3.88,buy
1244,2015-02-03,548489.2799999975,4535656,18600400.159999996,3.98,buy
1245,2015-02-04,548489.2799999975,4535656,18555043.599999998,3.97,buy
1246,2015-02-05,548489.2799999975,4535656,19053965.759999998,4.08,buy
1247,2015-02-06,548489.2799999975,4535656,18691113.279999997,4.0,hold
1248,2015-02-09,548489.2799999975,4535656,18509687.04,3.96,buy
1249,2015-02-10,548489.2799999975,4535656,19371461.68,4.15,buy
1250,2015-02-11,548489.2799999975,4535656,19598244.479999997,4.2,buy
1251,2015-02-12,548489.2799999975,4535656,20233236.319999997,4.34,buy
1252,2015-02-13,548489.2799999975,4535656,20732158.479999997,4.45,buy
1253,2015-02-17,548489.2799999975,4535656,20777515.04,4.46,buy
1254,2015-02-18,548489.2799999975,4535656,20868228.16,4.48,buy
1255,2015-02-19,548489.2799999975,4535656,21185724.08,4.55,buy
1256,2015-02-20,548489.2799999975,4535656,21593933.119999997,4.64,buy
1257,2015-02-23,548489.2799999975,4535656,21684646.24,4.66,buy
1258,2015-02-24,548489.2799999975,4535656,21730002.799999997,4.67,hold
1259,2015-02-25,548489.2799999975,4535656,21548576.56,4.63,buy
1260,2015-02-26,548489.2799999975,4535656,21866072.479999997,4.7,buy
1261,2015-02-27,548489.2799999975,4535656,21593933.119999997,4.64,buy
1262,2015-03-02,548489.2799999975,4535656,22138211.839999996,4.76,hold
1263,2015-03-03,21639289.68,0,21639289.68,4.69,sell
1264,2015-03-04,21639289.68,0,21639289.68,4.64,hold
1265,2015-03-05,21639289.68,0,21639289.68,4.66,sell
1266,2015-03-06,21639289.68,0,21639289.68,4.5,sell
1267,2015-03-09,21639289.68,0,21639289.68,4.55,sell
1268,2015-03-10,21639289.68,0,21639289.68,4.29,sell
1269,2015-03-11,21639289.68,0,21639289.68,4.22,sell
1270,2015-03-12,21639289.68,0,21639289.68,4.3,sell
1271,2015-03-13,649181.9699999988,4892799,21394649.73,4.24,buy
1272,2015-03-16,649181.9699999988,4892799,22226425.56,4.41,buy
1273,2015-03-17,649181.9699999988,4892799,22324281.54,4.43,buy
1274,2015-03-18,649181.9699999988,4892799,22960345.409999996,4.56,buy
1275,2015-03-19,649181.9699999988,4892799,23058201.39,4.58,buy
1276,2015-03-20,649181.9699999988,4892799,23547481.29,4.68,buy
1277,2015-03-23,649181.9699999988,4892799,23351769.33,4.64,hold
1278,2015-03-24,23204985.36,0,23204985.36,4.59,sell
1279,2015-03-25,23204985.36,0,23204985.36,4.27,sell
1280,2015-03-26,23204985.36,0,23204985.36,4.23,sell
1281,2015-03-27,23204985.36,0,23204985.36,4.27,sell
1282,2015-03-30,23204985.36,0,23204985.36,4.43,sell
1283,2015-03-31,23204985.36,0,23204985.36,4.29,sell
1284,2015-04-01,23204985.36,0,23204985.36,4.22,sell
1285,2015-04-02,696153.1099999957,5423815,23638890.56,4.23,buy
1286,2015-04-06,696153.1099999957,5423815,24181272.059999995,4.33,buy
1287,2015-04-07,696153.1099999957,5423815,24072795.759999994,4.31,buy
1288,2015-04-08,696153.1099999957,5423815,24615177.259999998,4.41,buy
1289,2015-04-09,696153.1099999957,5423815,25049082.459999997,4.49,buy
1290,2015-04-10,696153.1099999957,5423815,25374511.359999996,4.55,buy
1291,2015-04-13,696153.1099999957,5423815,25157558.759999994,4.51,hold
1292,2015-04-14,696153.1099999957,5423815,24940606.159999993,4.47,buy
1293,2015-04-15,696153.1099999957,5423815,25374511.359999996,4.55,hold
1294,2015-04-16,24615177.259999998,0,24615177.259999998,4.54,sell
1295,2015-04-17,738458.9400000013,5438888,24234455.1,4.32,buy
1296,2015-04-20,738458.9400000013,5438888,25322232.7,4.52,buy
1297,2015-04-21,738458.9400000013,5438888,25648565.98,4.58,buy
1298,2015-04-22,738458.9400000013,5438888,26029288.140000004,4.65,buy
1299,2015-04-23,738458.9400000013,5438888,26355621.42,4.71,buy
1300,2015-04-24,738458.9400000013,5438888,27334621.259999998,4.89,buy
1301,2015-04-27,738458.9400000013,5438888,27171454.620000005,4.86,hold
1302,2015-04-28,738458.9400000013,5438888,27008287.98,4.83,hold
1303,2015-04-29,26083677.020000003,0,26083677.020000003,4.73,sell
1304,2015-04-30,26083677.020000003,0,26083677.020000003,4.51,sell
1305,2015-05-01,26083677.020000003,0,26083677.020000003,4.69,sell
1306,2015-05-04,26083677.020000003,0,26083677.020000003,4.71,sell
1307,2015-05-05,26083677.020000003,0,26083677.020000003,4.49,sell
1308,2015-05-06,26083677.020000003,0,26083677.020000003,4.39,sell
1309,2015-05-07,782512.6000000015,5488322,25315311.94,4.47,buy
1310,2015-05-08,782512.6000000015,5488322,26193443.46,4.63,hold
1311,2015-05-11,25479961.6,0,25479961.6,4.58,sell
1312,2015-05-12,764399.2200000025,5396411,25156176.94,4.52,buy
1313,2015-05-13,764399.2200000025,5396411,25264105.160000004,4.54,buy
1314,2015-05-14,764399.2200000025,5396411,26397351.470000003,4.75,buy
1315,2015-05-15,764399.2200000025,5396411,26397351.470000003,4.75,buy
1316,2015-05-18,764399.2200000025,5396411,26667172.020000003,4.8,buy
1317,2015-05-19,764399.2200000025,5396411,26613207.910000004,4.79,buy
1318,2015-05-20,764399.2200000025,5396411,26667172.020000003,4.8,buy
1319,2015-05-21,764399.2200000025,5396411,27044920.790000003,4.87,hold
1320,2015-05-22,26829064.35,0,26829064.35,4.86,sell
1321,2015-05-26,804873.9600000009,5501943,26608986.630000003,4.69,buy
1322,2015-05-27,804873.9600000009,5501943,27874433.52,4.92,buy
1323,2015-05-28,804873.9600000009,5501943,27654355.8,4.88,hold
1324,2015-05-29,804873.9600000009,5501943,27214200.36,4.8,hold
1325,2015-06-01,27159180.93,0,27159180.93,4.84,sell
1326,2015-06-02,27159180.93,0,27159180.93,4.8,hold
1327,2015-06-03,27159180.93,0,27159180.93,4.84,sell
1328,2015-06-04,27159180.93,0,27159180.93,4.73,sell
1329,2015-06-05,27159180.93,0,27159180.93,4.7,sell
1330,2015-06-08,27159180.93,0,27159180.93,4.55,sell
1331,2015-06-09,814778.1899999976,5752053,26871578.279999997,4.53,buy
1332,2015-06-10,814778.1899999976,5752053,27906947.819999997,4.71,hold
1333,2015-06-11,27619345.169999998,0,27619345.169999998,4.74,sell
1334,2015-06-12,27619345.169999998,0,27619345.169999998,4.62,sell
1335,2015-06-15,27619345.169999998,0,27619345.169999998,4.55,sell
1336,2015-06-16,828584.0699999966,5761454,27446501.549999997,4.62,buy
1337,2015-06-17,828584.0699999966,5761454,27676959.709999997,4.66,buy
1338,2015-06-18,828584.0699999966,5761454,28829250.509999998,4.86,buy
1339,2015-06-19,828584.0699999966,5761454,28368334.189999998,4.78,buy
1340,2015-06-22,828584.0699999966,5761454,29059708.669999998,4.9,buy
1341,2015-06-23,828584.0699999966,5761454,29117323.209999997,4.91,hold
1342,2015-06-24,828584.0699999966,5761454,28714021.429999996,4.84,hold
1343,2015-06-25,28483563.269999996,0,28483563.269999996,4.8,sell
1344,2015-06-26,28483563.269999996,0,28483563.269999996,4.72,sell
1345,2015-06-29,28483563.269999996,0,28483563.269999996,4.38,sell
1346,2015-06-30,28483563.269999996,0,28483563.269999996,4.43,sell
1347,2015-07-01,28483563.269999996,0,28483563.269999996,4.52,sell
1348,2015-07-02,28483563.269999996,0,28483563.269999996,4.54,sell
1349,2015-07-06,28483563.269999996,0,28483563.269999996,4.5,sell
1350,2015-07-07,28483563.269999996,0,28483563.269999996,4.52,sell
1351,2015-07-08,28483563.269999996,0,28483563.269999996,4.3,sell
1352,2015-07-09,854510.0699999966,6208776,27490159.109999996,4.29,buy
1353,2015-07-10,854510.0699999966,6208776,28669826.55,4.48,buy
1354,2015-07-13,854510.0699999966,6208776,30097845.029999997,4.71,buy
1355,2015-07-14,854510.0699999966,6208776,30718722.629999995,4.81,buy
1356,2015-07-15,854510.0699999966,6208776,30842898.15,4.83,buy
1357,2015-07-16,854510.0699999966,6208776,32022565.589999992,5.02,buy
1358,2015-07-17,854510.0699999966,6208776,33450584.069999997,5.25,buy
1359,2015-07-20,854510.0699999966,6208776,33823110.629999995,5.31,buy
1360,2015-07-21,854510.0699999966,6208776,33698935.11,5.29,hold
1361,2015-07-22,854510.0699999966,6208776,32643443.189999998,5.12,hold
1362,2015-07-23,32767618.709999993,0,32767618.709999993,5.06,sell
1363,2015-07-24,32767618.709999993,0,32767618.709999993,4.91,sell
1364,2015-07-27,32767618.709999993,0,32767618.709999993,4.79,sell
1365,2015-07-28,32767618.709999993,0,32767618.709999993,4.91,sell
1366,2015-07-29,983031.1699999943,6447178,33025505.829999994,4.97,buy
1367,2015-07-30,983031.1699999943,6447178,33476808.289999995,5.04,buy
1368,2015-07-31,983031.1699999943,6447178,33347864.729999993,5.02,hold
1369,2015-08-03,32961034.049999993,0,32961034.049999993,4.98,sell
1370,2015-08-04,32961034.049999993,0,32961034.049999993,4.95,hold
1371,2015-08-05,32961034.049999993,0,32961034.049999993,5.06,sell
1372,2015-08-06,32961034.049999993,0,32961034.049999993,4.82,sell
1373,2015-08-07,32961034.049999993,0,32961034.049999993,4.8,sell
1374,2015-08-10,32961034.049999993,0,32961034.049999993,4.96,sell
1375,2015-08-11,32961034.049999993,0,32961034.049999993,4.77,sell
1376,2015-08-12,32961034.049999993,0,32961034.049999993,4.81,sell
1377,2015-08-13,988832.8099999949,6716849,33162539.519999996,4.79,buy
1378,2015-08-14,988832.8099999949,6716849,33364044.99,4.82,buy
1379,2015-08-17,988832.8099999949,6716849,34170066.87,4.94,hold
1380,2015-08-18,33296876.499999993,0,33296876.499999993,4.86,sell
1381,2015-08-19,33296876.499999993,0,33296876.499999993,4.77,sell
1382,2015-08-20,33296876.499999993,0,33296876.499999993,4.37,sell
1383,2015-08-21,33296876.499999993,0,33296876.499999993,3.83,sell
1384,2015-08-24,33296876.499999993,0,33296876.499999993,3.38,sell
1385,2015-08-25,33296876.499999993,0,33296876.499999993,3.33,sell
1386,2015-08-26,998907.7899999917,8094729,31839825.279999994,3.81,buy
1387,2015-08-27,998907.7899999917,8094729,34268243.97999999,4.11,buy
1388,2015-08-28,998907.7899999917,8094729,34268243.97999999,4.11,hold
1389,2015-08-31,30625615.929999992,0,30625615.929999992,3.95,sell
1390,2015-09-01,30625615.929999992,0,30625615.929999992,3.6,hold
1391,2015-09-02,30625615.929999992,0,30625615.929999992,3.89,hold
1392,2015-09-03,30625615.929999992,0,30625615.929999992,3.82,sell
